ID,Description,Entry_ID,Media_IDs,Semantic_Domain,alt_translation1,alt_translation2
SN000874,obsolete stem: lilt,koi,4416684bd4d672d5f570edd82ab32c34,activity - sound,radical obsoleto: tararear,veralteter Stamm: trällern
SN000875,later; late,koiye,6d018d02ea62f15909d6d3e38be9a29c,time,después; tarde,nachher; nachdem; später; spät
SN000876,near; close; very close,LX000533,6ba917f25edbeee5ad424be95025a64e,location,cerca; muy cerca,nahe; ganz in der Nähe
SN000877,lock bar,koka,ea8410cb8e301ce06025f9f16651e855,object,cerrojo,Riegel
SN000878,steering,kokar,5ae9eb8d50aa29ec261675afc4f3023b,object,timoneado,Steuerstab
SN000879,fallow,LX000534,b01f07c3bef610a5e0c3d5529dc1d759,environment; location,barbecho,Brache
SN000880,weed; clean the field with a shovel,kopi,20b610c9d23d9e17d9feae652f7bf49c,activity,carpir; limpiar maleza con pala,jäten; den Acker mit einer Schaufel reinigen
SN000881,today,LX000535,c565fe6dc341d90ffda60983e25ea553,time,hoy,heute
SN000882,rough; scabies; rash; unevenness,koroi,239fae6e2cb154010fe631349e83f81d,health,áspero; sarna; erupción cutanea; irregularidad,rauh; Krätze; Hautausschlag; Unebenheiten
SN000883,caw,LX000536,bbd2e7c5df2e481895842eafdcd373f5,activity,roncar,krächzen
SN000884,towards,LX000537,cbe366113a9e803e068d05f050bae006 ; 24a832fb0bfe33a1bfc223f06232db7d,location,hacia,gegen; -wärts
SN000885,just now; for the same reason; at the same time,koya,3f47060a59ff4a77b73e1cc74418d163,time,a la misma hora,zur gleichen Zeit
SN000886,sun heat,LX000538,,environment,resolana,Sonnenhitze
SN000887,right here,LX000539,006334c5f08a3ec65255912788cac15d,location,justo aquí,genau hier
SN000888,not long ago; a few days ago,LX000540,65458cc6eee647e9c4f43f1ccd517705,time,"recién; hace poco, hace unos días","gerade eben; vor kurzem, vor einigen Tagen"
SN000889,residue of burnt trees in a new field,LX000541,1ef9396a64f7a04aa57877e604058bdd,environment,restos de árboles quemados en un chaco nuevo,"die schlecht verbrannten Bäume im neu geschlagenen Acker, Ackerunrat"
SN000890,dawn,LX000542,22ea4eea8313555e9bf8d82179fec022,state,amanecer,Tagesanbruch; Tag werden
SN000891,scratch; itch,LX000543,3d542e40ad38248b21468df45d88e6cb,activity,picar; rascar,jucken; kratzen
SN000892,"a species of bird, according to Hoeller its singing announces rain",LX000544,4beb0396a0d1dfbeb5f38a4712459aab,animal - bird,"una especie de pájaro, según Hoeller su canto anuncia lluvia","Vogelart, dessen Gesang lt. Hoeller Regen ankündigen soll"
SN000893,squirrel,kuchigwai,f397391a5b3e0866c567a8012c3015f2 ; 6dfa0887395584dae564189c5f1f9316,animal - mammal,ardilla,Eichhörnchen
SN000894,"a species of plant, parasite on palm trees, according to Hoeller it has this name because it looks like a little monkey",LX000545,5822784d5af30401845e983a3e4cfe14,plant,"especie de planta, parecida al polipodio, parasito en las palmeras, según Hoeller tiene este nombre porque se parece a monitos pequeños","Pflanzenart, Parasit auf Palmen, lt. Höller wird sie so genannt, weil sie kleinen äffchen ähnlich sieht"
SN000895,tumble; flip over,kuchirapa,ddad53771773076d91feb05b32cb4664,activity - motion,volcarse,sich überschlagen
SN000896,fall,kui_1,28c46f029c9624eebbb1a3803ab80109,activity,caer,fallen
SN000897,"tutuma fruit (tree calabash), long, used as container for liquids",kui_2,568656caa56512fcbbee0940c645a2f0,plant - fruit; object - container,"tutuma, larga, sirve para líquidos","lange Tutumafrucht, die ausgehöhlt als Krug dient"
SN000898,"a species of tree calabash, short and round",LX000546,568656caa56512fcbbee0940c645a2f0,plant - fruit; object - container,"una especie de tutuma, corta y redonda","Baumkalebassenart, kurz und rund"
SN000899,calabash tree,LX000547,568656caa56512fcbbee0940c645a2f0,plant - tree,tutumo,Kalebassenbaum
SN000900,long calabash with hole,kuikwar,bb791ec777ab739199907e9fbbbfc3a8,plant - tree; object - container,"tari, tutuma con hueco arriba",lange Tutuma mit Loch oben
SN000901,man; male,LX000548,c73f8e854a47fdb99ac1ae3f2cf25f3f,human; animal,hombre; varón; macho,Mann
SN000902,bean,kumanda,c9a923e8a9a441b1c3db4897904c7391,plant - seed; plant - fruit; food & drink,frijol; poroto,Bohne
SN000903,"a species of tree, nut",kumbaru,a4592fc956dd2a7fb8a5702fe570f6cc,plant - tree,"almedrillo, una especie de árbol","Nussart, ihr Baum"
SN000904,youngster,kunumi,48edc49a69c6a98fb7389c405b867783,human,jóven,Bursche
SN000905,woman; female,LX000549,4508f00c3278360f41d6dc4e8b993849,human; animal,mujer; hembra,Frau; Weibchen
SN000906,witch,LX000550,53f771c4a739898f1e55c2b82be14ccb,religion & spirituality; social relations; human,bruja,Hexe
SN000907,singing of drunk women,LX000551,80d9ed71ea17feebd3a9baaedcf2939d,sound,canto de mujeres borrachas,Gesang oder Johlen betrunkener Frauen
SN000908,replace,LX000552,1bc2ac0a80a5bc534035d7e264e7740c,activity,sustituir,ersetzen
SN000909,oesophagus,kunga,05aecc2e283867da979919b6b927c2d8,body part - organ,tragadero,Speiseröhre
SN000910,"a species of tree, diesel tree",LX000553,a354391e4a9bd315d7e9ee5864fc8452,plant - tree,"copaibo, una especie de árbol",Copaibo-Baum
SN000911,back,kupe,85000a572fdace9b280ff590e421dd47 ; 1f7c098b999de90290fc4954c16b745a,body part,espalda,Rücken
SN000912,outmost end,LX000554,210f1211c0651b2e36040032c78085d3,location,límite; la punta extrema,das äußerste Ende einer Sache
SN000913,"a species of termite, eats the construction wood of the houses and erodes the walls",LX000555,a073649a013b4af10841903b1498ac95,animal - insect,"turiro, una especie de termita, come la madera de construcción de las casas y socava las muros","Termitenart, die das Bauholz der Häuser frisst und die Mauern unterwühlt"
SN000914,leg of an animal,LX000556,8f7f3c3b745e92cd751c906a62658f49,animal - body part,pierna de un animal,Bein vom Tier
SN000915,quiver with feet,LX000557,f82d75121983c7b04d38c424f8ed4ef0,state,patalear,zucken mit den Füßen; strampeln
SN000916,insult,kura,117c55aa8071b6da13681ae25b5ddd7b,activity - speech,insulto,"Beschimpfung mit üblen Benennungen, Spitznamen etc."
SN000917,"a species of plant, maguey",kuragwa,933198d008888f4e83086bcb5ec79df5,plant,maguey,Stechpalmenart
SN000918,half-milled thing,kurer,18b48461bdf47bf69680e0374c26d33e,food & drink,semimolido,Schrot; halbgemahlene Sache
SN000919,a species of bamboo or cane,kuri_1,a3ab6dd8dae92695354c121d9feb57fe,plant,una especie de tacuara,Rohrart
SN000920,later,kuri_2,d7c8bb3ca15523d4ccec936884b34c08,time,después; algún día,nachher; einst; später
SN000921,a species of tree,LX000558,,plant - tree,una especie de árbol pelado,Baumart
SN000922,when,kurime,13e62fe33071f916967a8a7d5751b56f,time,cuando,wenn
SN000923,whenever,kurise,,time,cuando sea,irgendwann
SN000924,now,LX000559,b6e68553d73312576826e821763b07e5,time,ahora; aún,"soeben, gegenwärtig, sofort, gleich, soeben habe ich.... ; soeben; gerade; jetzt"
SN000925,red rash,kuru,b9d355ae421646c38eb70c8496b78df4,health,"pitaí; erupción cutanea roja, se produce en el cuerpo en forma de granito a causa del calor u otra cosa",jede Art von Ausschlag: Blattern; Krätze; Masern; Wimmerl
SN000926,"a species of sqash, pavi",LX000560,d24f73f4a780fbac11d9e718a77ddf1b,plant - fruit,"pavi, una especie de zapallo","Pavi, eine Kürbisart"
SN000927,squash,LX000561,d24f73f4a780fbac11d9e718a77ddf1b,plant - fruit,zapallo,Kürbis
SN000928,a species of sqash,LX000562,d24f73f4a780fbac11d9e718a77ddf1b,plant - fruit,una especie de zapallo,Kürbisart
SN000929,"a species of heron, brownish grey colour",kuruka,eb7214600f2877481f77f8beadb2164f,animal - bird,"una especie de graza, de color café y plomo",bräunlich-graue Reiherart
SN000930,"a species of tree, called cuchi in Spanish, the extract of its bark is used to seal pottery and for medication",LX000563,b81e261a12a64082823831a98f358cee ; 878e05d05ead6798ccf2cedc8bb2541f,plant - tree,"cuchi, una especie de árbol, la cocción de su corteza es usada para impermeabilizar cerámica, también es planta medicinal","Cuchi, ein Baum, mit dem Absud seiner Rinde macht man die Töpfereiwaren dicht"
SN000931,"a species of tree, called curupaú, sumaqui or cebil in Spanish",LX000564,2a6aa5a26bb20958128cb5fc2a5f16db ; f8b8f011903df0be92015975fb87cb19,plant - tree,"curupaú, una especie de árbol que también es llamada sumaqui o cebil",Baumart
SN000932,"a species of bird, has a song lthat sounds ike its name",kurupichocho,66c90fbbc4d024730e8c58243e64e9f6,animal - bird,"una especie de pájaro, su canto suena como su nombre","Vogelart, die so singt wie ihr Name"
SN000933,frog,kururu,ab939429e8aa40dc43dce078f42c37bf,animal - amphibian,sapo,Frosch
SN000934,"a species of fruit, according to Hoeller it is used for preserving",LX000565,4f1b62978f0be3a18f6730ad01552463,plant - fruit,"motojobobo, una fruta que según Hoeller sirve para confitar","Motojobobo, eine Frucht, die zum Einkochen dient ; Fruchtart, die lt. Hoeller zum Einkochen dient"
SN000935,"a species of fish, without scales and of very good quality",LX000566,411b6dee0b76ee5b956a6b5b4c6eefd0,animal - fish,"una especie de pez, sin escama y de muy buena calidad","schuppenlose, sehr gute Fischart"
SN000936,gravel,kuruvi,095c48a0e7b7984171e540fc1eda2d6b,material,grava,Schotter; was aus Bröcklein besteht
SN000937,"a species of edible black fruit, called conservilla in Spanish",LX000567,4b2d1b13ef310f0e2aa2c94657333861,plant - fruit,"conservilla, una especie de fruta negra comestible","schwarze essbare Fruchtart, auf Spanisch Conservilla genannt"
SN000938,"a species of fruit, sweet-and-sour, edible",LX000568,4b2d1b13ef310f0e2aa2c94657333861,plant - fruit,"una especie de fruta, agridulce, comestible","Fruchtart, süßsauer, essbar"
SN000939,"a species of tree, according to Hoeller, the wood is used to make temporary canoes and the bark for tanning",LX000569,2a6aa5a26bb20958128cb5fc2a5f16db,plant - tree,"árbol paraíso, una especie de árbol, según Hoeller se usa la madera para construir canoas temporarias y la cáscara para curtir","Baumart, daraus man wenig dauerhafte Kanus baut, die Rinde dient den Gerbern"
SN000940,"a species of oleiferous tree, called maria in Spanish",LX000570,64eac653eea80fa312eba5664e317370,plant - tree,"maría, una especie de árbol oleaginoso","ölhaltige Baumart, auf Spanisch Maria genannt"
SN000941,ash or grime in a cobweb,kusugwer,6c425775ea0075aa6a6e28704a7af5bb,material,humo o ceniza atrapado en la tela de araña,"Asche oder Ruß, der in einem Spinnennetz hängenbleibt"
SN000942,now indeed,kute,3159711911013cec848c4cd2628c17f8,time,ahora sí,jetzt aber
SN000943,stinge,kutu,7b97432bd89ecc2809196ac0e3c2d5f7,activity,pinchar; puntear,stechen
SN000944,middle; waist,LX000571,26d920ec103203c3726df684adfe788c,body part,medio; cintura,Mitte; Taille
SN000945,embrace,LX000572,cce7541e0529b50f6228e6ecc8a0f62c,activity,abrazar,umarmen; umfassen
SN000946,wrap,LX000573,,object; clothes,faja,umwickeln; bündeln
SN000947,be relaxed,LX000574,88dabfc4eb631581a7bb1c63530a317a,activity,estar relajado/-a,entspannt sein
SN000948,dust; flour,LX000575,9744d88bf2d4e8f6c1799be6276df4c9,material; food & drink,polvo; harina,Staub; Mehl
SN000949,grind; pound,LX000576,d8f00fda2b92cfede14a6754eb4cd8ea,activity,moler; pulverizar,fein zermahlen; zerstoßen
SN000950,larinx,LX000577,d29ebdab2e5871fbc663d07430faacc6,body part - organ,laringe,Larinx
SN000951,hit,kwa_1,b87d7bfb5987736f1673d3ffd1486894,activity,pegar,schlagen
SN000952,pass; go through,kwa_2,643bdb604845c6c3911c7b9cb16c02f1,activity,pasar; atravesar,"ich passiere, gehe, gehe vorbei, gehe durch wie die Flüssigkeit durch das Sieb ; passieren; hindurchgehen"
SN000953,know,kwaa,6bb546121db0b850b15ddcf245a16296 ; 586642fdce1e6be770fbe8566087a9f8,activity,conocer,wissen
SN000954,inform; make know,kwaa_uka,,activity,informar; hacer saber,informieren; wissen machen
SN000955,coati,kwachi,b40f521bb82021c9d065c698af51fb9c,animal - mammal,tejón,Südamerikanischer Nasenbär
SN000956,a species of predatory cat,kwachi_yagwar,10b0186cdb95df590cf23a6cfcd2a739,animal - mammal,una especie de felino,kleine Raubkatzenart
SN000957,write; note,kwachia,8357a3fe4ad28bdb7837daae820fe120,activity,escribir; anotar,schreiben; notieren
SN000958,document; letter; book,kwachiar,3fe8e67b55220977dc7b6ea142389c8f,object,documento; libro; cuaderno; carta,Buch; Heft; Dokument; Seite; Brief
SN000959,eraser,LX000578,3fe8e67b55220977dc7b6ea142389c8f,object,goma de borrar,Radiergummi
SN000960,postman,kwachiar_rerogwatasar,0bacb0fbdc939fa6df49aacd09bc290c,human - profession,cartero,Postbote
SN000961,blotting paper,kwachiar_rupitesa,3fe8e67b55220977dc7b6ea142389c8f,object,papel secante,Löschblatt
SN000962,make someone do; order,kwai_1,4935045c64a22ceb366d4106d2bdb406,activity,mandar; ordenar,beauftragen; befehlen
SN000963,up,kwai_2,d2ea006904c9234f81229d88febfe3d6,location,arriba,oben
SN000964,obligation,kwaita,4935045c64a22ceb366d4106d2bdb406,social relations,deber,Gebot; Vorschrift; Pflicht
SN000965,conceal,kwaku,097cdc78ed30799b86e7ba597fa7267a,activity,"tener cuidado, ser cauteloso, tambien abstinencia; ahorrar",verheimlichen; verbergen; verschweigen; verleugnen
SN000966,old,kwakwa,cadd77c8553cca7aba29d477874da659,activity,viejo,alt
SN000967,porcupine,kwandu,a8cbd3b398169d86028aa6be0f481f96,animal - mammal,puerco espín,Stachelschwein
SN000968,"a species of tree, spiny",LX000579,a8cbd3b398169d86028aa6be0f481f96,plant - tree,"una especie de árbol, con espinas",Baumart mit Stacheln
SN000969,hole; cave,kwar,bb794ef50d31736cb6905149b278f056,environment,hueco; cueva; guarida,Loch; Höhle
SN000970,"a species of tree, similar to the guayabo, its leaves smell like arrayán; sahuinto tree",LX000580,0aa10cfd85b45a0220223c1855326614,plant - tree,"una especie de árbol, según Hoeller parecido al guayabo, sus hojas huelen como arrayán; árbol de sahuinto planta medicinal","Baumart ähnlich dem Guayabo, seine Blätter riechen wie Arrayan"
SN000971,perforate,kwaro,2551d6eb1260b7afa2ef15ca5c63d92b,activity,perforar,löchern; Löcher machen
SN000972,urinate,kwaru,87b9930a63200ecd4824c2ae323bd224,activity,orinar,urinieren
SN000973,rope to tie something up,kwasa,,object,liga para amarrar,Band zum Anbinden
SN000974,cut in stripes,LX000581,4394091bd957856725bc793a4fb01bfd,activity,cortar en tiras,in Streifen oder Riemen zerschneiden
SN000975,offer,LX000582,00a39666f56e0f36eb3dac43479c6179,activity,ofrecer,geben; schenken; darbieten
SN000976,finger,LX000583,385ed509dd0bf0d7fc5ebbf3cb58f105,body part,dedo,Finger
SN000977,glove,LX000584,105f058e375c658a54d3248b72ea9bec,clothes,guante,Handschuhe
SN000978,be there,LX000585,90c7609406a5e0d51531aca15d0b89ee,activity,haber; estar,sein
SN000979,decrease in height or mass; get thin; abate,kwe,03fa71363502b05649b17fb04e6059a5 ; be48e8de1cdfbc0d5a2ac5ee74d23f94,state,bajar de nivel o masa; hacerse flaco; disminuir; extrañar,an Höhe oder Masse abnehmen; mager werden; nachlassen
SN000980,get well,kwera,14310dc39372ddb5925c984b4ef593c6,activity,recuperar,gesunden
SN000981,fatigue; stress,kwerai,47670580e4d9dc605df9bf19dc9a9e4f,human - emotion & cognition; health,cansancio; estrés,Verdruss; Ermüdung; Stress
SN000982,get up; be recovered,LX000586,5eb84801372718085f472925871cb4ad,activity,resucitar; recuperarse,auferstehen; genesen
SN000983,long time ago,kwese,c6fce46d2c93b0197bd51a7a3c422c52,time,hace mucho tiempo,vor langer Zeit
SN000984,a species of heron,magwari,7dc8bdfaa1549a911e6fe542e28d57af,animal - bird,una especie de garza,Vogelart (Reiher)
SN000985,"a species of heron, white",LX000587,ae8376f69820c8b8071ca9656ec31f6c,animal - bird,"una especie de garza, blanca",weiße Reiherart
SN000986,rough; sharp,maimbe,,property,áspero; filo,"rau, scharf"
SN000987,gray brocket,maire,33c5c5e04323779e585b8a558fad284a,animal - mammal,urina,"Graumazama, eine Hirschart"
SN000988,"name of a mythological animal, one of the companions of Kurupɨr",LX000588,333db65b98c64d3f8a5b1a783c91637c,religion & spirituality; name,"nombre de un animal mitológico, uno de los dos compañeros de Kurupɨr","Name eines mythologischen Tieres, einer der zwei Begleiter des Kurupɨr"
SN000989,a species of long manioc,maka_rugwasu,,plant - part; food & drink,una especie de yuca larga,lange Maniokart
SN000990,"a species of bird, called macón in Spanish; according to Hoeller the bird has two different songs, if it sings the elegy, it means that someone has to die or something bad will happen, if it sings the joyful song, it means that the husband will come home soon and his wife starts to prepare chicha",LX000589,760da14449c6b4e0e94ef01148843165,animal - bird,"macón, una especie de ave, según Hoeller tiene dos cantos: cuando canta el lamento alguién va a morir o va a llegar un mal, cuando canta el canto alegre es un signo de que el marido voverá pronto a la casa y su esposa empieza a hacer chicha","Vogelart, auf Spanish macón genannt, lt. Hoeller: Er hat zweierlei Weisen: wenn er das Klagelied singt, muss jemand sterben oder es kommt ein Unglück. Singt er die lustige Weise dann ist es für die Frau ein Zeichen, dass der Mann heimkommt und sie beginnt Chicha zu bereiten"
SN000991,"a species of shrub, for making blunt arrows",LX000590,95de743c1de0d41a326ababb7f681320,plant,"una especie de arbusto, para hacer bolas de flechas","Strauchart, aus der stumpfe Pfeile gemacht wurden"
SN000992,"a species of tree, the wood is used for making oars and sticks of hoes",LX000591,05a7e6fcfde8549be29596f8a719a356,plant - tree,"una especie de árbol, la madera es usada para hacer remos y palos de azadas","Baum, dessen Holz für Ruder und Hackenstiele gebraucht wird"
SN000993,wrap up; tie up,mama_1,de5d8174657f2e767f6bfb02be4019b4,activity,enrollar; envolver; liar,einwickeln; zusammenbinden
SN000994,batch,mama_2,de5d8174657f2e767f6bfb02be4019b4,quantity,bulto,Bündel
SN000995,"bounder, rascal",manani,,human,bellaco,Schurke
SN000996,sandal,manani,,clothes,"abarca, sandalia",Sandale
SN000997,for a long time,manive,,time,desde hace mucho tiempo,seit Langem
SN000998,die,mano_1,607092eb2c85ec74d5dd855b5043b729,activity,morir,sterben
SN000999,death,mano_2,607092eb2c85ec74d5dd855b5043b729,health,muerte,Tod
SN001000,mortal,LX000592,,human,mortal,sterblich
SN001001,keep watch,LX000593,,activity,hacer centinela,Wache halten
SN001002,extreme,mandaivete,11d51e9693a807e7025cfa3beeb37853,state,grave,extrem
SN001003,cotton,mandiyu,9b5907bf662b49e2dbddd40e529bc15d,plant,algodón,Baumwolle
SN001004,"a species of catfish, called bagre in Spanish",LX000594,7f1c17d35e954c5d0748d62eab54a6e2 ; cbff7f425dbd6ef9cad454cc1d2ef5cb,animal - fish,"bagre, una especie de pez","Fischlart, auf Spanisch bagre genannt"
SN001005,cutting of manioc; manioc twig for planting,LX000595,cbff7f425dbd6ef9cad454cc1d2ef5cb,plant - part,estaca de yuca; rama de yuca para plantar,Yucazweig zum Verpflanzen
SN001006,manioc,LX000596,55ac843dfe2165a51305f57ba9deb950,plant,yuca,Maniok
SN001007,juice of manioc,LX000597,,food & drink; plant - part,resina de yuca,Saft
SN001008,"a species of white heron; a species of bird, smaller than the heron, it has white feathers, there are two long feathers on its head",LX000598,d0f3b8a6b92d53b90492ca85e6d907ed,animal - bird,"una especie de garza blanca; una especie de ave, más pequeña que la garza, tiene plumaje de color blanco, de la cabeza salen dos plumas pendientes.",weiße Reiherart
SN001009,a species of fish,manduve_1,,animal - fish,una especie de pez,Fischart
SN001010,Manuel,manduve_2,,name,Manuel,Manuel
SN001011,a species of bee,manganga,ddf8de50515081b5011b0113f1c6f3ef,animal - insect,una especie de abeja,Biene
SN001012,"a species of bee, produces white wax",LX000599,7b4834df405611eb3bf73f47cf5f85b1,animal - insect,"una especie de abeja, produce cera blanca","Bienenart, die weißes Wachs produziert"
SN001013,kitchen work; cook,LX000600,6623d0ff0212922c2a076b87dc0a4f08,activity,cocinar,mit Küchenarbeiten beschäftigt sein; kochen
SN001014,holiness,LX000601,2717f7843921c1b9eb86bfaad6eb4bfd,religion & spirituality; human,santidad,Heiligkeit
SN001015,damage; bad,LX000602,b651dd20c9a06422649150d920ccb7f1,social relations,daño; mal,Schaden; schlecht
SN001016,what for?; how?,LX000603,4639ac781a7103338b957328cd7dd4d3 ; 31ce2dc5de6415e9e2bd8d67c026d78d,grammatical - interrogative,para qué?; cómo?,wozu?; wie?
SN001017,parrot,LX000604,a9aab8d11c22c54da6fa0d0a406c05d0,animal - bird,loro,Papagei
SN001018,wild rice; a plant similar to rice,LX000605,1f4cd9197cffbf636e09044af0a1bd7d,plant,arróz silvestre; una planta similar al arróz,wilder Reis; ein dem Reis ähnliches Kraut
SN001019,"a species of small monkey, walks at night",marikina,c32b977bf9edf908cb8411bca08edf58,animal - mammal,"mono cuatro ojos, especie de monito que anda de noche","äffchenart, die bei Nacht wandert"
SN001020,"a species of small insect, stinges like a mosquito, called marigui in Spanish",LX000606,a7832b8c02a263a61b734977a215d9e2,animal - insect,"mariguí, una especie de insecto que pica como mosquito","kleine Insektenart, auf Spanisch Marigui genannt, das wie die Moskito sticht"
SN001021,a species of sand fly,LX000607,9ea8ffdb4a3dad8a15b72bc66dd1dfc1,animal - insect,"jején, una especie de mosquito",Gnitzenart
SN001022,"a species of bird, called tibibi in Spanish",matuiri,013178140160a7f19a9fab5911498826,animal - bird,"tibibi, una especie de pájaro","Vogelart, auf Spanisch tibibi genannt"
SN001023,rumor,LX000608,0594b9663eb87c4f02b59d7b75a079cf,social relations,chisme,Tratsch
SN001024,distribute,LX000609,809bfa43f1d32da75ff6f31c7b10b34f,activity,repartir,verteilen
SN001025,pot,LX000610,,object - household,olla,Kochtopf
SN001026,memory,LX000611,7955143827a31c26ffddc3a5e74055c5,human - emotion & cognition,recuerdo,Gedenken; Erinnerung; sich erinnern
SN001027,greetings,LX000612,7955143827a31c26ffddc3a5e74055c5,social relations; human - communication,saludos,Grüße
SN001028,what for?,LX000613,06a7932716284b283a6df5ccfcbbf40b,grammatical - interrogative,para qué?,und warum?; wie ist es möglich?; wozu?
SN001029,look; wake up,LX000614,fa25f34ac637ea60ad1638c2e2d51788 ; 2146bff16a0de13f60298464a39a15f3,activity,mirar; despertar,schauen; aufwachen
SN001030,flea,LX000615,266fe5cb597157a2aa89b316775a0f90,animal - insect,pulga,Floh
SN001031,play bongo or bell,LX000616,17be9692983c6f2f8959c9d68cfc8efd,activity,tocar bombo o campana,Trommel oder Glocke spielen
SN001032,bell; bongo,LX000617,17be9692983c6f2f8959c9d68cfc8efd,object - music,campana; bombo,Glocke oder Trommel
SN001033,couch,LX000618,,activity,espiar,lauern
SN001034,small space,LX000619,ef996c642a8adf900bf9ec7de6f21719,location,pequeño espacio,kleiner Raum; etwas Platz
SN001035,small passage,LX000620,,location,pasillo,kleiner Durchgang
SN001036,"interrogative particle, abbreviation o marä, umä or mba'e",LX000621,dd175dd8d8dfb2147ca6814cda7f5d45,grammatical - interrogative,"partícula interrogativa, abreviatura de marä, umä o mba'e","Abkürzung märä, umä oder mba'e"
SN001037,bundle,LX000622,1d0f3e732fce3c42f30f44962bc6da55,quantity,haz,Bündel
SN001038,flag,LX000623,241864e640e6eb14d95598eafff9e61b,object,bandera,Fahne
SN001039,"interjection of compassion, only used by women",LX000624,049932e107f5b5fc4113808d3006a6f7,symptomatic,"interjección de compasión, solo usado por mujeres","Interjektion der Erbarmnis, des Mitleids, nur von Frauen gebraucht"
SN001040,ruined,LX000625,15615cbc55f88fc28c72092ece955e15,state,"fregado, dañado",hinüber
SN001041,"all the ones that belong to the same species or kind, ones like the others; pure",memendar,104bfe3292ffa2d100ffa3766b0a9115,social relations,"todos los que pertenecen a la misma especie o clase, los unos como los otros; puro","alle, die der gleichen Art angehören; die einen wie die andern"
SN001042,at the same time,memeve,a983345bb198c16a2fa6b2e9a80ce02b,time,al mismo tiempo,zu gleicher Zeit
SN001043,fry,membe,157f01435c28a71b83d25adbcfdc5be4,activity,freír,braten
SN001044,"son, daughter, child, only used by women",LX000626,0d1c8ce6997ee108f37baab4c280784d ; ffb245eb2b5d11cd5fe0c4ba22506712,kinship,"hijo, hija, niño, niña, solo usado por mujeres","Sohn; Tochter; Kind, nur von Frauen benutzt"
SN001045,fornicate,meno,bd40d2975a50907cc59d1fc3c00454e4,activity,fornicar,Unzucht betreiben; ehebrechen
SN001046,marry,menda,c999a9340349d272ffb140e6c5b8d5ca ; 64382625f7b6d068e7202846c81dce28,activity,casarse,heiraten
SN001047,inside,mendar,abdfdb432cde6743e85cd34093922642,location,dentro de algo,darinnen befindlich
SN001048,marriage,mendasa,,action,boda,Heirat
SN001049,husband,mer,9a2c4133603179b59e25cca10bc095a8 ; 281713fc7394eb4705a2f3ea980222c0,kinship,esposo,Ehegatte
SN001050,"bridgegroom, future husband",LX000627,7715c3ef68340832a02aaa4aa8c86e8f,kinship,"novio, futuro esposo",Verlobter; zukünftiger Ehemann
SN001051,a species of tree,LX000628,2c6a18ba28373f5bddd665dbcdf6c0e3,plant - tree,una especie de árbol,Baumart
SN001052,smell of smoke,LX000629,7048e1df558c1eeba3036cb22b82ea53,state,oler a humo,stinken; einen beißenden Geruch ausströmen; nach Rauch stinken
SN001053,"give, give away",LX000630,23e54c6d0136868dffd39377367ff4e5,activity,dar,geben; hingeben
SN001054,table,LX000631,bd804610c5194fc3a369d636fbae56d8,object - household,mesa,Tisch
SN001055,uncle,mianga,b605941e6c98c05003ccdd881e1db566,kinship,tío,Onkel
SN001056,cat,LX000632,72cc22746f363a1f5e8eef74c39baf84,animal - mammal,gato,Katze
SN001057,superstition,LX000633,,religion & spirituality,superstición,Aberglaube
SN001058,"cormorant, a water bird that feeds on fish",migwa,,animal - bird,"cormorán, ave nadadora y buceadora se alimenta de peces",Kormoran
SN001059,roast,LX000634,dd0dd3ac2a93c1f3bb5a95ca4578c44a,food & drink,asado,Braten
SN001060,food for babies,LX000635,,food & drink,comidita para el bebé,Kinderessen
SN001061,soup,mimoi,574ef6f960f25d6138c2273291753114,food & drink,sopa,Suppe
SN001062,"make bubbles, ferment",mimbi,,activity,"hacer burbujas, fermentarse",Blasen machen; gären; fermentieren
SN001063,wind instrument,LX000636,3ca2caf2efe72511b715e4aa9471e1ee,object - music,instrumento de viento,Blasinstrument
SN001064,flute made of tarara wood,LX000637,6777b1f88d99d98470403c103296446d,object - music,flauta de madera de tarara,Tararaflöte
SN001065,roasted or fried in a banana leaf (fish),mimboke,b93fc658f0d5258ca656168682e0e525,food & drink,asado en hoja de plátano o patujé (pescado),in einem Bananenblatt gegrillter oder gebratener Fisch
SN001066,what someone wanted,mimbotasa,,other,lo que se quería,was man wollte
SN001067,"diminutive: little, small, few, minor",mini,528a8a8dbc147b04fea26bf703cc3834 ; 86b8950f9f8c28026ae52b5824d00bd9,grammatical,"diminutivo: poco, pequeño, menor",Diminutiv: wenig; klein; ein wenig
SN001068,chew manioc for making chicha,LX000638,fcb5f57cd9932f43bbf7f6dc2ccc63ea,activity,"patascar yuca para chicha, masticar yuca para chicha",Maniok kauen für Chicha
SN001069,a thick soup made with corn or manioc flour,LX000639,9dd19ac4ae3d4db6c35559f16be13fc8,food & drink,"lagua, una sopa espesa de harina de máiz o yuca",dicke Suppe aus Mais oder Maniokmehl
SN001070,"lance, made of chonta palm used for fishing eels",LX000640,9792c25f0478ea3151c67d3934f28298,object - hunt,"lanza de chonta, se usa para pescar anguillas","Lanze, zum Aalfangen benutzt"
SN001071,mass,misa,88a8a57ac70699900408eaaf8f5e5fd2,religion & spirituality,misa,Messe
SN001072,sowing,LX000641,9303be083c6cc0968f8a757fc13d5c1c,plant - seed,sembradío,Saat
SN001073,hide,LX000642,0bef9adb1580a853363f8ec41a1d703c ; c95cba37aa8566467968c480aff90b2a,activity,esconder,verbergen; verheimlichen
