ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Corpus_Reference,Sense_IDs,alt_translation1,alt_translation2
XV000411,gyr,tapeseka ɨvir,,,go look for fibers (that are used instead of thread to fix certain things),,,Hoeller 1932a:104,SN000670,vayan a buscar fibras (que sirven para fijar cosas en vez de hilo),"geht Fasern suchen, die zum Befestigen gewisser Sachen an Stelle der Schnur dienen"
XV000412,gyr,ɨvɨ apua,,,terrestrial globe,,,Hoeller 1932a:97,SN000671,globo terráqueo,"Erdkugel, Erdrund"
XV000413,gyr,ɨvɨchi pɨ̈tä,,,"aurora, red clouds",,,Hoeller 1932a:100,SN000674,"aurora, nubes rojas","Himmelsröte, rote Wolken"
XV000414,gyr,che yɨvɨi,,,close to me,,,Hoeller 1932a:99,SN000675,yo a su lado,bei mir
XV000415,gyr,ipepo ruvinka ɨvɨpɨkwer,,,quill,,,Hoeller 1932a:97,SN000677,cañón de pluma,Federkiel
XV000416,gyr,gwaka ro'o ɨvɨr,,,fresh beef,,,Hoeller 1932a:98,SN000679,carne de res fresca,frisches Rindfleisch
XV000417,gyr,ɨvɨra a,,,a tree called tabarochi in Spanish,,,Hoeller 1932a:98,SN000680,tabarochi,"Tabarochi, ein Baum"
XV000418,gyr,aɨvɨso,,,I get down,,,Hoeller 1932a:100,SN000687,"me bajo, bajo","ich steige ab, steige nieder"
XV000419,gyr,ɨvɨtrɨ rusu,,,high mountain,,,Hoeller 1932a:99,SN000688,cerro grande,hoher Berg
XV000420,gyr,ɨvɨtu gwasu,,,"storm, hurricane",,,Hoeller 1932a:99,SN000689,"tormenta, huracán","Sturm, Orkan"
XV000421,gyr,amboɨtu'ɨtu (2019: amboɨvɨtuvɨtu),,,I shake it like a bottle,,,Hoeller 1932a:103,SN000690,lo sacudo como una botella,"ich schüttle es, wie eine Flasche"
XV000422,gyr,ɨvɨvaive oyapo okorä,,,he/she made his/her field on bad soil,,,Hoeller 1932a:310,SN000693,hizo su chaco en un suelo malo,auf schlechtem Grunde hat er seinen Acker angelegt
XV000423,gyr,yepea ɨvɨve,,,green firewood,,,Hoeller 1932a:99,SN000694,leña verde,grünes Brennholz
XV000424,gyr,ɨvɨyuyu chï,,,"a species of tree, called sauce in Spanish",,,Hoeller 1932a:99,SN000696,árbol Sauce (Salix sp.),"Sauce, ein Baum"
XV000425,gyr,ɨvondepor,,,what is caught in the trap,,,Hoeller 1932a:100,SN000698,lo que está capturado en la trampa,was in der Falle gefangen ist
XV000426,gyr,amboɨ'u,,,"I water it, I give him/her something to drink",,,Hoeller 1932a:103,SN000704,le doy de tomar,"ich tränke es, gebe ihm zu trinken"
XV000427,gyr,che ɨ̈,,,my spindle,,,Hoeller 1932a:105,SN000705,mi huso,meine Spindel
XV000428,gyr,iɨ̈vɨ̈chï,,,"it smells musty, it smells like moldy flour",,,Hoeller 1932a:105,SN000706,"huele a moho, huele a harina alterada","es muffelt, riecht nach verdorbenem Mehl"
XV000429,gyr,i'ɨ̈vɨ̈i,,,"it is straight, aligned",,,Hoeller 1932a:105,SN000707,"está recto, alineado","es ist gerade, ausgerichtet"
XV000430,gyr,ɨ̈vɨ̈ï sepɨr,,,"the price is low, cheap",,,Hoeller 1932a:105,SN000708,"el precio está bajo, barato","der Preis ist niedrig, billig"
XV000431,gyr,iɨ̈vɨ̈rë,,,it smells musty,,,Hoeller 1932a:105,SN000709,huele a moho,es muffelt
XV000432,gyr,pira ɨ̈vosar,,,one who shoots fish with an arrow,,,Hoeller 1932a:105,SN000710,el/la que caza peces con flecha,"einer, der mit dem Pfeil Fische schiesst"
XV000433,gyr,ɨvɨtɨr oyoupɨta ɨ̈vö no,,,"hills that are close to each other, a chain of hills",,,Hoeller 1932a:105,SN000711,"cerros juntados, cadena montañosa","hart aneinander klebende Berge, Bergkette"
XV000434,gyr,ikakwer,,,the breaking,,,Hoeller 1932a:43,SN000715,el quebrar,das Zerschlagen
XV000435,gyr,che kagwa,,,I have chicha,,,Hoeller 1932a:44,SN000717,tengo chicha,"sagt der Mann, wenn in seinem Haus chicha vorhanden ist: ich bin bei Chicha"
XV000436,gyr,ikaita agwer (2019: ikai agwer)/ okai va'e,,,"fire, scene of the fire, combustion / what is burned",,,Hoeller 1932a:45,SN000720,"incendio, lugar de incendio, combustión / lo que está quemado","Brand, Brandstätte, Verbrennung / was verbrannt ist"
XV000437,gyr,aikambe,,,"I kick him/her, I lash out at him/her",,,Hoeller 1932a:45,SN000724,"yo piso, le doy coces [le piso o pateo]","ich trete ihn, schlage aus gegen ihn"
XV000438,gyr,che kambi asɨ'ai,,,(the dress) pinches me,,,Hoeller 1932a:46,SN000725,(el vestido) me apreta,(das Kleid) drückt mich
XV000439,gyr,ikambɨ va'e,,,"the one that has milk, dairy cow",,,Hoeller 1932a:46,SN000726,"la que tiene leche, vaca lechera","die Milch hat, Milchkuh"
XV000440,gyr,ikambuse va'e (2019: ikambusei va'e),,,a child who likes to drink maternal milk,,,Hoeller 1932a:46,SN000727,un/una bebe a que le gusta chupar,"Kind, das gerne trinkt"
XV000441,gyr,kambuchi mini,,,a small jar,,,Hoeller 1932a:46,SN000728,cántaro peqeño,kleinerer Krug
XV000442,gyr,che kane'o,,,my limbs or bones ache,,,Hoeller 1932a:46,SN000730,"tengo dolor articular, me duelen los huesos",mich schmerzen die Glieder oder die Knochen
XV000443,gyr,kañɨ,,,they say this when there is lightning; it is the abbreviation of arɨ kañɨ: the end of the world,,,Hoeller 1932a:46,SN000732,"lo dicen, cuando hay relámpago; es abreviatura de arɨ kañɨ: fin del mundo","sagen sie, wenn es blitzt, ist die Abkürzung für: ar cañỹ: Weltuntergang"
XV000444,gyr,ikandu rusu (2019: ikandu gwasu),,,very swollen,,,Hoeller 1932a:46,SN000734,muy hinchado,"sehr geschwollen, stark geschwollen"
XV000445,gyr,che kangɨ,,,"I am exhausted, dull, weak, powerless",,,Hoeller 1932a:46,SN000735,"estoy deshecho/-a, débil, sin fuerza","ich bin fertig, matt, schwach, kraftlos"
XV000446,gyr,ikangwer rupɨta,,,his/her joint,,,Hoeller 1932a:46,SN000736,"su coyuntura (lit. ""nalga"" de los huesos)",sein Gelenk
XV000447,gyr,kangwertɨ,,,"skull site, ossuary",,,Hoeller 1932a:43,SN000737,"lugar de cráneos, osario","Schädelstätte, Beinhaus"
XV000448,gyr,kape ipirer va'e,,,coffee with husk,,,Hoeller 1932a:47,SN000739,café con cáscara,Kaffee samt Schale
XV000449,gyr,aikapenda'asɨa,,,I cut his/her sinew,,,Hoeller 1932a:47,SN000740,le corté en la articulación,ich schneide ihm die Sehne durch
XV000450,gyr,ikapipɨr,,,weeded,,,Hoeller 1932a:47,SN000741,carpido,gejätet
XV000451,gyr,kapi'i ätä,,,"hard grass, which is not eaten by cattle",,,Hoeller 1932a:47,SN000742,pasto duro que no es comido por el ganado,"hartes Gras, das vom Vieh nicht gefressen wird"
XV000452,gyr,gwaka kara,,,balls in the stomach of cattle,,,Hoeller 1932a:47,SN000750,bolas en el estómago del ganado,"die Kugeln, die sich im Magen den Rinder finden"
XV000453,gyr,karanda'ɨ sachï va'e,,,another palm with spines,,,Hoeller 1932a:48,SN000758,otra palma con espinas,andere Palme mit Stacheln
XV000454,gyr,karaya (peya) pɨ̈ta,,,"another monkey, of brown colour",,,Hoeller 1932a:48,SN000760,otro mono de color café,ein anderer brauner Affe
XV000455,gyr,aɨvɨkaräi,,,I scratch the ground,,,Hoeller 1932a:48,SN000765,escavo la tierra,ich scharre die Erde auf
XV000456,gyr,nde rova karima,,,you have a black face (insult of women),,,Hoeller 1932a:48,SN000768,tienes una cara negra (insulto de las mujeres),"du hast ein schwarzes Gesicht, Schimpfwort der Frauen unter sich"
XV000457,gyr,oroyekaro pɨpe orokaru (2019: ore karo pɨpe orokaru),,,we eat from the same pot,,,Hoeller 1932a:48,SN000769,comemos de la misma olla,wir essen aus einem Topfe
XV000458,gyr,pɨ̈tɨ̈(ra)mose akaru,,,I eat dinner,,,Hoeller 1932a:48,SN000770,yo ceno,ich esse zu Abend
XV000459,gyr,che karugwa,,,I have rheumatism of joints,,,Hoeller 1932a:49,SN000771,tengo reumatismo de coyuntura,ich habe Gelenksrheumatismus
XV000460,gyr,karugwar raɨrai nde,,,son of the devil!,,,Hoeller 1932a:49,SN000772,hijo del diablo!,du Sohn des Teufels
XV000461,gyr,karugwata raɨr,,,seedling of pineapple,,,Hoeller 1932a:49,SN000773,plantón de piña,Setzling der Ananas
XV000462,gyr,aikatuyapo,,,I can do it,,,Hoeller 1932a:49,SN000775,puedo hacerlo,ich kann es machen
XV000463,gyr,ikatu ete pɨsa,,,"the night is clear, clean (before the wind from the South comes)",,,Hoeller 1932a:49,SN000776,"la noche está clara, limpia (antes de que viene el sur)","die Nacht ist hell, rein, (bevor der Südwind kommt)"
XV000464,gyr,sendɨ katu arɨ sui,,,it shines brighter than the sun,,,Hoeller 1932a:49,SN000777,esto brilla más que el sol,es glänzt heller als die Sonne
XV000465,gyr,ikatuprɨ cheu,,,"it is good for me, favourable",,,Hoeller 1932a:50,SN000778,"esto es bueno para mi, me conviene","es ist gut für mich, von Vorteil"
XV000466,gyr,kau vense,,,another species of wasp,,,Hoeller 1932a:50,SN000779,otra especie de avispa,andere Gattung von Wespen
XV000467,gyr,kave uru posä,,,"serpentaria, a species of grass, the milk of this grass is pressed on wounds to extinguish worms",,,Hoeller 1932a:44,SN000787,"serpentaria, una especie de hierba, la savia de ese pasto se hecha a la herida para extinguir lombrices (o: remedio para curar boro del perro)","Serpentaria, die Milch dieses Grases auf die Wunde gedrückt, vertreibt den Wurm"
XV000468,gyr,ikavu,,,"it shines like something polished or varnished, smooth",,,Hoeller 1932a:44,SN000790,"brilla como algo lustrado o barnizado, plano","es glänzt wie gewichste oder gefirnisste Sachen, glatt"
XV000469,gyr,ka'a katu ete,,,"thinned woods, sparse woods",,,Hoeller 1932a:43,SN000793,"monte aclarado, monte ralo","gelichteter Wald, schütterer Wald"
XV000470,gyr,ka'aru kotɨ sui,,,from the west,,,Hoeller 1932a:44,SN000805,del oeste,von Westen her
XV000471,gyr,ka'i gwasu,,,spider monkey,,,Hoeller 1932a:45,SN000808,marimono,Klammeraffe
XV000472,gyr,ika'ïmbuku (2019: ika'ipuku),,,"thin and long, also: the clay coils of potters",,,Hoeller 1932a:45,SN000813,"delgado y largo, también: las tripas de barro de los alfareros",schmal und lang. item: die Lehmstritzel der Töpfer
XV000473,gyr,oso kagwa (?) (2019: oso ka'usave),,,he/she went to do communal work// he went to drink chicha,,,Hoeller 1932a:50,SN000814,se fue a la minga/se fue a tomar chicha,er ging zur Gemeinarbeit// er ging zum Chichagelage
XV000474,gyr,kä pɨter,,,udder teat,,,Hoeller 1932a:43,SN000815,tetilla de ubre,Euterzitze
XV000475,gyr,chavo kächï,,,parfumed soap,,,Hoeller 1932a:44,SN000816,jabón perfumado,parfümierte Seife
XV000476,gyr,che yesɨ'okäta,,,"my trachea, my Adam's apple",,,Hoeller 1932a:47,SN000820,"mi tráquea, mi nuez de Adán","meine Luftröhre, Adamsapfel"
XV000477,gyr,mikä'e / miakä'e,,,roast,,,Hoeller 1932a:44,SN000821,asado,Braten
XV000478,gyr,amokä'e,,,I barbecued it,,,Hoeller 1929:C,SN000821,yo lo asé a la parrilla,ich grillte es
XV000479,gyr,ñepeï akie ñoite,,,I have only slept once or one night,,,Hoeller 1932a:210,SN000825,solo dormí una vez o una noche,ich habe nur einmal oder eine Nacht geschlafen
XV000480,gyr,kiendar?,,,where is he/she from?,,,"Hoeller 1929:Q, 88",SN000826,de dónde es?,woher kommt er?
XV000481,gyr,kie mba'e (amo),,,anything,,,Hoeller 1932a:210,SN000827,cualquiera cosa,irgend etwas Beliebiges
XV000482,gyr,che kieraikwer / che kierpendar aroya,,,"it was my dream, I believe in my dreams",,,Hoeller 1932a:211,SN000828,"fue mi sueño, yo creo en mis sueños","es war mein Traum, ich glaube an meine Träume"
XV000483,gyr,che mongieräse (2019: che mongeräse),,,it causes me trepidation,,,Hoeller 1932a:211,SN000829,me causa angustia,es verursacht mir Beklemmung
XV000484,gyr,che kiere'ɨ̈,,,I am,,,Hoeller 1932a:211,SN000830,"soy valiente, infatigable","ich bin fleissig, rastlos"
XV000485,gyr,akietɨ̈ro sese,,,I lie in wait for him/her,,,Hoeller 1932a:211,SN000831,le acecho,ich lauere ihm auf
XV000486,gyr,kirikiri gwasu,,,another species of bird,,,Hoeller 1932a:212,SN000834,otra especie de ave o pájaro,eine andere Art Vogel
XV000487,gyr,kiriri aï / kiriri aiko,,,"I am quiet, I sit quietly",,,Hoeller 1932a:212,SN000837,"estoy silencioso/-a, estoy sentado/-a silenciosamente","ich bin ruhig, sitze ruhig"
XV000488,gyr,ikɨ agwer: omoäkɨ okar,,,that the yard is wet is a sign that it has rained,,,Hoeller 1932a:212,SN000838,que el patio está mojado es un signo de que haya llovido,"dass der Hof feucht ist, ist ein Zeichen, dass es geregnet hat"
XV000489,gyr,aseka ikɨ / aikɨvɨ,,,I delouse it,,,Hoeller 1932a:212,SN000839,le despiojo,ich lause es ab
XV000490,gyr,aipɨkɨ̈chingo,,,I rub his/her feet,,,Hoeller 1932a:214,SN000840,le froto los pies,ich reibe ihm die Füsse ab
XV000491,gyr,kɨgwa gwasu,,,comb of loom,,,Hoeller 1932a:213,SN000841,peine del telar,Kamm des Webstuhles
XV000492,gyr,ikɨra,,,"he/she is fat, big, fatted",,,Hoeller 1932a:213,SN000845,"él/ella está gordo/-a, grueso/-a, cebado/-a","es ist fett, dick, gemästet"
XV000493,gyr,che kɨrï,,,"I am ticklish, it tickles me",,,Hoeller 1932a:213,SN000847,"soy cosquilloso/-a, tengo cosquillas","ich bin kitzelig, es kitzelt mich"
XV000494,gyr,ndikɨsavei,,,he/she doesn't have a hammock anymore,,,Hoeller 1932a:214,SN000848,ya no tiene hamaca,er hat keine Hängematte mehr
XV000495,gyr,kɨsa'ɨ = kɨsapɨr (2019: kɨsaprɨ),,,tree or post to which the hammock is tied,,,Hoeller 1929:89,SN000848,palo en que se ata la hamaca,"Pfahl oder Baum, an dem die Hängematte festgebunden wird"
XV000496,gyr,kɨse ipɨ̈gwɨ̈ï ete,,,knife with soft blade,,,Hoeller 1932a:214,SN000849 ; SN000851,cuchillo con hoja blanda,Messer mit weicher Klinge
XV000497,gyr,aikɨtɨkɨtɨ,,,I rub it hardly,,,Hoeller 1932a:213,SN000855,lo froto fuerte,ich reibe es fest ab
XV000498,gyr,ikɨtɨ̈rosa,,,the persecution or pitfalls (e.g. of the devil),,,Hoeller 1932a:213,SN000856,la persecución o las trampas (p.e. del diablo),"die Nachstellungen oder Fallstricke, z.B. des Teufels"
XV000499,gyr,che kɨvɨr mini,,,my younger brother (said by a woman),,,Hoeller 1932a:212,SN000857,mi hermano más joven (dicho por mujer),mein jüngerer Bruder (gesagt von einer Frau)
XV000500,gyr,kɨ̈vötɨ sui,,,"from here, from this side",,,Hoeller 1932a:214,SN000858,"de aquí, de ese lado","von hier aus, von dieser Seite aus"
XV000501,gyr,che kɨ'a,,,I am dirty,,,Hoeller 1932a:212,SN000861,estoy sucio/-a,ich bin schmutzig
XV000502,gyr,kɨ'ɨ̈i'a,,,"chili, chili fruit",,,Hoeller 1932a:213,SN000864,"ají, la fruta del ají","Chilifrucht, die Pfefferschote"
XV000503,gyr,ɨvɨra kɨ̈chisa,,,saw,,,Hoeller 1932a:214,SN000865,sierra,Säge
XV000504,gyr,iyuru pɨpe kɨ̈tä,,,crop of birds,,,Hoeller 1932a:214,SN000866,buche de aves o pájaros,Kropf der Vögel
XV000505,gyr,añeäkäko,,,I support my head with my hands,,,Hoeller 1932a:51,SN000867,apoyo la cabeza con las manos,ich stütze den Kopf in die Hände
XV000506,gyr,ko pɨ'asu (2019: kove pɨ'asu),,,"new field, this year's field",,,Hoeller 1932a:50,SN000868,"chaco nuevo, chaco hogaño","neuer Acker, diesjähriger Acker"
XV000507,gyr,ko a'e,,,it is this one,,,Hoeller 1932a:51,SN000869,este es,der ist es
XV000508,gyr,ko a'ä,,,I stand here,,,Hoeller 1932a:51,SN000870 ; SN003579,aquí estoy parado/-a,hier stehe ich
XV000509,gyr,ko suive,,,therefore from now on,,,Hoeller 1929:22,SN000872,desde ahora por este motivo,deshalb von jetzt an
XV000510,gyr,kogwer ya,,,as much as this,,,Hoeller 1932a:82,SN000873,tanto como eso,soviel wie dieses
XV000511,gyr,añemongoi,,,"I lilt, I sing while drinking chicha",,,Hoeller 1932a:52,SN000874 ; SN001524,"tarareo, canto tomando chicha, distraerse","ich trällere, singe bei der Chicha"
XV000512,gyr,koiye'ai ereyu,,,you are coming late,,,Hoeller 1932a:53,SN000875,venís tarde,du kommst spät
XV000513,gyr,koïndar,,,what is close to here,,,Hoeller 1932a:52,SN000876,lo que está cerca aquí,was hier nahe ist
XV000514,gyr,okienda koka,,,lock bar of a door,,,Hoeller 1932a:51,SN000877,cerrojo de puerta,Türriegel
XV000515,gyr,ɨar rupɨta kokar,,,steersman,,,Hoeller 1932a:51,SN000878,timonel,Steuermann
XV000516,gyr,ko pɨ'asu,,,"new field, field of this year",,,Hoeller 1932a:50,SN000879,"chaco nuevo, chaco hogaño","neuer Acker, diesjähriger Acker"
XV000517,gyr,ko arɨ pɨpe,,,"today, this day",,,Hoeller 1932a:53,SN000881,"hoy, este día","heute, an diesem Tage"
XV000518,gyr,yape koroi atɨ,,,"its outside, his/her skin is rough, uneven",,,Hoeller 1932a:53,SN000882,"su lado exterior, su piel está áspera, desigual","seine Außenseite, seine Haut ist rauh, uneben"
XV000519,gyr,akörörö,,,"I am hoarse, I can't sing",,,Hoeller 1932a:53,SN000883,"estoy ronco/-a, no puedo cantar","ich bin heiser, kann nicht singen"
XV000520,gyr,oyokotɨ,,,one against the other,,,Hoeller 1932a:53,SN000884,uno/-a en contra de otro/-a,"einer wider den andern, gegen den andern"
XV000521,gyr,ayi'ive koya ayevina,,,tomorrow at the same time,,,Hoeller 1929:23,SN000885,mañana al mismo tiempo,morgen zur gleichen Zeit
XV000522,gyr,asora ko ɨvar mombo,,,I will clean the field,,,Hoeller 1932a:97,SN000889,voy a limpiar el chaco,ich werde den Acker reinigen
XV000523,gyr,"köë ramo, köë seni",,,day breaks,,,Hoeller 1932a:52,SN000890,amanece,es tagt
XV000524,gyr,aikö'ö,,,I scratch it,,,Hoeller 1932a:53,SN000891,yo me rasco,"ich reibe es, kratze es"
XV000525,gyr,ayeakuchiraparapa,,,"I tumble, I am flipping over like a fish",,,Hoeller 1932a:7,SN000895,"doy volteretas, me vuelco como los peces","ich schlage Purzelbäume, ich überschlage mich wie ein Fisch"
XV000526,gyr,akui,,,"I fall, I fall down",,,Hoeller 1932a:62,SN000896,"me caigo, caigo abajo","ich falle, ich falle herunter"
XV000527,gyr,kui apu'a,,,the short and round tutuma (tree calabash) that is used as a bowl,,,Hoeller 1932a:62,SN000897,la tutuma corta y redonda que es usada como fuente,"die kurze, kugelige Tutuma, die als Schale verwendet wird"
XV000528,gyr,kuimba'e mini teï,,,not very brave,,,Hoeller 1932a:62,SN000901,poco valiente,wenig mutig
XV000529,gyr,kunumigwer,,,a male youngster of approximately 18 years,,,Hoeller 1932a:63,SN000904,jóven de 18 años aproximadamente,Bursche von ca 18 Jahren
XV000530,gyr,kuñakwar,,,vagina,,,Hoeller 1932a:63,SN000905,vagina,membrum mulieris
XV000531,gyr,kuña mbaye,,,"witch, female sorcerer",,,Hoeller 1932a:115,SN000906,"bruja, hechicera","alte Hexe, Zauberin"
XV000532,gyr,asekuñarö che turukwar,,,I change my clothes,,,Hoeller 1932a:329,SN000908,me cambio de ropa,ich wechsle die Wäsche
XV000533,gyr,kupaɨrɨkwer,,,diesel tree oil,,,Hoeller 1932a:63,SN000910,aceite de copaibo,Copaiboöl
XV000534,gyr,che kupe kotɨ turi,,,he/she came towards me from backwards,,,Hoeller 1932a:63,SN000911,él/ella me llegaba de atrás,er kam mir von rückwärts
XV000535,gyr,oɨ rukupi'a,,,"the end, the narrow side of a house, the first room on the narrow side, gable room",,,Hoeller 1932a:64,SN000912,"el fin, el lado estrecho de la casa, el primer cuarto en el lado estrecho, desván","das Ende, die Schmalseite des Hauses, das erste Zimmer an der Schmalseite, Giebelzimmer"
XV000536,gyr,aikupɨkwa,,,I tie the legs of the animal,,,Hoeller 1932a:64,SN000914,le amarro las piernas al animal,"ich fessle ihm die Füße, dem Tier"
XV000537,gyr,aikura,,,I give him/her bad and offensive names,,,Hoeller 1932a:64,SN000916,le doy nombres malos y ofensivos,"ich gebe ihm üble, beleidigende Namen"
XV000538,gyr,kuragwa rɨvir (2019: kuragwa ɨvir),,,maguey fibre,,,Hoeller 1932a:64,SN000917,fibra del maguey,Bast der Magueypalme
XV000539,gyr,ikurerusu ai,,,it is milled very coarsely,,,Hoeller 1932a:64,SN000918,está molido muy grueso,es ist sehr grob gemahlen
XV000540,gyr,asora e'i peve kuri rane,,,I will just go ahead there,,,Hoeller 1932a:64,SN000920,yo me voy allá de una vez,ich werde dann schon einmal hingehen
XV000541,gyr,kurïteï aru,,,I have just brought it,,,Hoeller 1932a:65,SN000924,ya lo traje ahora,soeben habe ich es gebracht
XV000542,gyr,kuru atɨ,,,measles,,,Hoeller 1932a:65,SN000925,sarampión,Masern
XV000543,gyr,kurugwa'ɨ'a pëpë,,,another kind of squash,,,Hoeller 1932a:65,SN000927,otra especie de zapallo,eine andere Art Kürbis
XV000544,gyr,urunde'ɨ mini,,,"another species of tree, its bark is used to heal wounds",,,Hoeller 1932a:268,SN000930,"otra especie de cuchi, con su corteza curan heridas","eine andere Baumart, mit deren Rinde sie Wunden heilen"
XV000545,gyr,kurupa'ɨ pirer,,,"tanbark, the bark of this tree",,,Hoeller 1932a:65,SN000931,"cáscara, la corteza del curupaú","die Gerberlohe, Rinde dieses Baumes"
XV000546,gyr,ita kuruvi,,,stone gravel,,,Hoeller 1932a:65,SN000936,grava de piedra,Steinschotter
XV000547,gyr,kuruvɨ gwasu,,,a sweet and sour edible fruit,,,Hoeller 1932a:65,SN000937,una fruta agridulce comestible,"eine süßsaure, essbare Frucht"
XV000548,gyr,ikusugwer omosundai,,,"the grime has blackened it, the wall of the kitchen",,,Hoeller 1932a:65,SN000941,el tizne la ha teñido negro a la pared de la cocina,"der Ruß hat sie geschwärzt, die Wand der Küche"
XV000549,gyr,aso kute,,,I go already now,,,Hoeller 1932a:66,SN000942,ya voy,ich gehe schon
XV000550,gyr,aikutu,,,"I stinge him/her, I pierce him/her, I butt hi/herm with the horns, I clobber him/her, I open an abscess on him/her",,,Hoeller 1932a:66,SN000943,"le pico, le perforo, le empujo con los cuernos, le hago sangradera, le abro una úlcera","ich steche ihn, durchbohre ihn, stosse ihn mit den Hörnern, lasse ihn zur Ader, öffne ihm ein Geschwür"
XV000551,gyr,semana ku'ape,,,in the middle of the week,,,Hoeller 1932a:54,SN000944,en el medio de la semana,Mitte der Woche
XV000552,gyr,ayeku'agwä,,,I cross my arms,,,Hoeller 1932a:62,SN000945,cruzo los brazos,ich kreuze od. verschlinge die Arme
XV000553,gyr,aku'ei,,,I am relaxed,,,Hoeller 1932a:60,SN000947,"yo estoy relajado/-a, desestresado/-a",ich bin relaxed/entspannt
XV000554,gyr,ɨvɨ ku'i,,,"dust, sand",,,Hoeller 1932a:62,SN000948,"polvo, arena","Staub, Sand"
XV000555,gyr,"aiku'icho, amongu'i",,,"I make it flour, I pound it into flour",,,Hoeller 1932a:62,SN000949,"lo hago harina, lo muelo","ich mache es zu Mehl, zerstoße etwas zu Mehl"
XV000556,gyr,ambokü,,,I give (the flute) a tongue,,,Hoeller 1932a:54,SN000950,le doy una lengua a la flauta,"ich gebe ihr eine Zunge, der Flöte (Klarinette?)"
XV000557,gyr,akwa sese ɨvɨra pɨpe,,,I beat him/her with a club,,,Hoeller 1932a:55,SN000951,le pego con un palo,ich schlage ihn mit einem Prügel
XV000558,gyr,kwa pukukwer,,,step as measure of length,,,Hoeller 1932a:55,SN000952,un paso como medida de longitud,Schritt als Längenmass
XV000559,gyr,akwa,,,I am already going,,,Hoeller 1929:C,SN000952,ya estoy yendo,ich bin schon am Gehen
XV000560,gyr,"mba'e kwaasa, porokwasa",,,knowledge; wisdom,,,Hoeller 1932a:56,SN000953,"conocimientos, comprensión, sabiduria",Wissen; Weisheit
XV000561,gyr,ikwachiasa,,,branding iron for marking cattle,,,Hoeller 1932a:58,SN000957,el hierro de marcar ganado,das Brenneisen zum Märken der Tiere
XV000562,gyr,"kwachiar marane'ɨ̈, kwachiar santo",,,Holy Scripture,,,Hoeller 1932a:58,SN000958,las Sagradas Escrituras,Heilige Schrift
XV000563,gyr,ayokwai,,,"I order him/her, I instruct him/her, I invite him/her (to work)",,,Hoeller 1932a:58,SN000962,"le ordeno, le mando, le encargo, le invito (a trabajar)","ich befehle ihm, beordere ihn, trage ihm auf, lade ihn ein (zur Arbeit)"
XV000564,gyr,kopɨpe ndasetasetai ikwai o'ɨ rese,,,there are not many fruits left up in the tree,,,Hoeller 1932a:58,SN000963,ya no hay muchas frutas arriba en el árbol,jetzt hängen nicht mehr viele Früchte am Baum droben
XV000565,gyr,asekokwaku,,,I apologize him/her,,,Hoeller 1932a:51,SN000965,le disculpo,ich entschuldige ihn
XV000566,gyr,akwakwa,,,"I get old, I grow",,,Hoeller 1932a:59,SN000966,"envejezco, crezco","ich altere, wachse"
XV000567,gyr,kwandu ɨ,,,a species of tree with spines,,,Hoeller 1932a:59,SN000967,una especie de árbol con espinas,ein Baum mit Stacheln
XV000568,gyr,ɨ kwar,,,spring,,,Hoeller 1932a:59,SN000969,fuente,Quelle
XV000569,gyr,aikwaro itɨ̈ ägwä,,,I make holes in the ground in order to plant plants,,,Hoeller 1932a:60,SN000971,hago huecos en el suelo para plantar plantas,"ich mache Löcher in die Erde, um Pflanzen anzusetzen"
XV000570,gyr,ndoipotai che kwaru,,,I cannot piss,,,Hoeller 1932a:60,SN000972,no puedo mear,ich kann nicht pissen
XV000571,gyr,aikwavë'e chupe sembiaporä,,,I show him/her his/her work,,,Hoeller 1932a:57,SN000975,le señalo su trabajo,ich weise ihm seine Arbeit
XV000572,gyr,che kwä,,,my finger,,,Hoeller 1932a:56,SN000976,mi dedo,mein Finger
XV000573,gyr,mbɨa okwäve vɨte,,,the people are still there,,,Hoeller 1932a:57,SN000978,la gente está todavía,die Leute sind noch da
XV000574,gyr,ndikwevɨtëi che mër mano agwer,,,the pain for my (deceaed) husband has not diminished yet,,,Hoeller 1932a:60,SN000979,el dolor por mi marido (difunto) todavía no ha pasado,der Schmerz um meinen (verstorbenen) Mann hat noch nicht nachgelassen
XV000575,gyr,akwera,,,"I am getting well, I am cured",,,Hoeller 1932a:61,SN000980,"recupero, estoy curado/-a","ich gesunde, bin geheilt"
XV000576,gyr,porombokweraisa,,,"displeasure, dissatisfactory thing",,,Hoeller 1932a:61,SN000981,"fastidio, cosa fastidiosa","Verdruss, verdriessliche Sache"
XV000577,gyr,kwese renonde,,,"long, long time ago",,,Hoeller 1932a:62,SN000983,hace mucho tiempo atrás,"vor langer, langer Zeit"
XV000578,gyr,kwesera pɨpe,,,the day before yesterday,,,Hoeller 1929:24,SN000983,anteayer,vorgestern
XV000579,gyr,turukwar mama,,,batch of cloth,,,Hoeller 1932a:108,SN000994,bulto de tela,Tuchbündel
XV000580,gyr,amano,,,"I die, I faint, I mortify myself",,,Hoeller 1932a:109,SN000998,"muero, me desmayo, me mato","ich sterbe, werde ohnmächtig, töte mich ab"
XV000581,gyr,mandaivete katutui,,,he/she is very ill,,,Hoeller 1932a:108,SN001002,está gravemente enfermo,er liegt arg darnieder
