ID,Language_ID,Headword,Part_Of_Speech,Borrowed_Word,Comment,Dialect_Genderlect_Info,Entry_IDs,Language_of_Origin,Media_IDs,Paradigm,Source_Citation_Form,Variant_Form
LX000642,gyr,mï,v,,,,LX000948,gyr,b4d16cdd60416a60d6c34c8a9522effe,"añomi, che ñomi, che añemi","mĩ, añomĩ (Hoeller 1932a:127); ñomĩ (Hoeller 1932a:157) ; mî, añomî - añemî (Hoeller 1929:54); ñomî (Hoeller 1929:66)",mi
LX000643,gyr,mɨmba,n,,alternatively mba'e mɨmba,,,gyr,,che reɨ̈mba,"mỹmba (Hoeller 1932a:130); mýmba, mýmba eý - mbae mýmba reze oye ? (Hoeller 1929:55)",
LX000644,gyr,mɨnduvi,n,,,,,gyr,34a9d4d451633bc36385b1266f1dd81d,,munduvi (Hoeller 1932a:142); munduvi (Hoeller 1929:59),munduvi
LX000645,gyr,mɨsä,n,,not used like this anymore today,,LX000581 ; LX001080,gyr,,,-; mýza (Hoeller 1929:60),pɨsä
LX000646,gyr,mɨtü,n,,,,,gyr,,,mỹtũ (Hoeller 1932a:130); mýtû (Hoeller 1929:55),
LX000647,gyr,mɨtü'ë,n,,,,,gyr,,che pɨ̈tü'e,"mỹtũẽ (Hoeller 1932a:130); pỹtũẽ (Hoeller 1929:189); mýtuê, pýtuê (Hoeller 1929:55)",pɨtü'ë
LX000648,gyr,mɨtü'ë,n,,,,,gyr,,ipɨ̈tü'ë,"pỹtũẽ (Hoeller 1932a:189); mýtuê, pýtuê (Hoeller 1929:55)",pɨtü'ë
LX000649,gyr,mɨ̈i,v,,,,LX000718,gyr,,"avɨ̈i/amɨ̈i, amovɨ̈i/amomɨ̈i",-; mýi - amomýi (Hoeller 1929:54),vɨ̈i
LX000650,gyr,moakɨ̈ta,v,,also used as N,,LX000032,gyr,,,"moaquỹtã (Hoeller 1932a:131); mboaquyta, amboaquýta (Hoeller 1929:55)",mopokɨ̈ta
moakwasa,gyr,moakwasa,v,,,,kwakwa,gyr,,amoakwasa,moacuaza (Hoeller 1932a:131); mongacuazar (Hoeller 1932a:139); mongacuazar ? (Hoeller 1929:58),mboakwasa
LX000651,gyr,moañai,v,,,,,gyr,,amoañai,"moañai, amoañai (Hoeller 1932a:131); moáñai, amóañai (Hoeller 1929:55); aña, añai (Hoeller 1932a:18); aña (Hoeller 1929:8)",moañɨi
LX000652,gyr,moangu'i,v,,this may also have been confused with mongu'i 'make into flour'?,,LX000652 ; LX000698,gyr,,amo'angu'angu'i (RDPL),"angù-i, amoangu angu-i (Hoeller 1932a:18)",
LX000653,gyr,moapɨ̈ta,v,,,,LX000116,gyr,a4fab6358546a7627103a5cf9de44d58,"amoapɨ̈ta, eremoapɨ̈ta, omoapɨ̈ta","apỹta, yapỹta; amoapỹta pira (Hoeller 1932a:26); yapỹtã, amoapỹta pira (Hoeller 1932a:281)",
moapunga,gyr,moapunga,n,,,,punga ; yapunga,gyr,e744d3050b2eed2f4674a3bb235bccad,amoapunga,"apunga, yapunga; amoapunga (Hoeller 1932a:28)",
LX000654,gyr,moatä,v,,,,,gyr,,amoätä,"mboãtã, amboãtã (Hoeller 1932a:117); mboata, añemboata (Hoeller 1929:49)",
mochimbo,gyr,mochimbo,v,,,,chimbo_1,gyr,,amochimbo,mochimbo (Hoeller 1932a:132),
LX000655,gyr,mochï,v,,CAUS of achï,,LX000239,gyr,,amochï,"mochĩ (Hoeller 1932a:131); mochî, amochî ? (Hoeller 1929:55)",
LX000656,gyr,moembi'u,v,,,,LX001594,gyr,,amoembi'u,"moembiu (Hoeller 1932a:132); moembiu, amo embíu (Hoeller 1929:55)",
moendagwer,gyr,moendagwer,n,,what I put in place,,rendagwer,gyr,,amoendagwer,enda (Hoeller 1932a:75); enda aguer - amoenda aguer (Hoeller 1929:31),
LX000657,gyr,moesaena?,v,,not confirmed,,,gyr,,,-; moezaena ? (Hoeller 1929:56),moesa'ëra
moesarai,gyr,moesarai,v,,,,tesarai,gyr,,amoesarai,moezarai (Hoeller 1932a:132),mboesarai
LX000658,gyr,moesäkä,v,,"this is used when while sowing not every hole gets a seed, or while weaving one thread is jumped over",,,gyr,,amoesäka,"moezãcã, amoezãca (Hoeller 1932a:132); moezaca ? (Hoeller 1929:56)",
moeta,gyr,moeta,v,,,,eta ; seta_2,gyr,,amoeta,"moeta (Hoeller 1932a:132); mboeta, amboeta (Hoeller 1932a:119); mboeta, amboeta (Hoeller 1929:50)",mboeta
LX000659,gyr,moë,v,,,,,gyr,,anoë,"noẽ, anoẽ (Hoeller 1932a:147)",noë
LX000660,gyr,moëta,v,,,,LX000262,gyr,,amoëta,"moẽtã (Hoeller 1932a:132) ; moetâ, amoetâ (Hoeller 1929:56) ; têtâ - che renta - amoetâ (Hoeller 1929:105)",
LX000661,gyr,moë'ësa,n,,mo-esa-pɨ̈tü -> CAUS-eye-night/cloud/darkness,,,gyr,,,moeza (Hoeller 1932a:132); moêza (Hoeller 1929:56),
moinge,gyr,moinge,v,,,,ike,gyr,,amoinge,"moingie, amoingie (Hoeller 1932a:133); iquie - aiquie - amónguie (Hoeller 1929:37); moingie - amoingie (Hoeller 1929:56)",
moingo_1,gyr,moingo,v,,mo- CAUS + -iko 'be',,iko,gyr,,aingo,"ingo (Hoeller 1932a:90); moingo, amoingo (Hoeller 1932a:133) ; amoingo, aingo (Hoeller 1929:37)",
moingo_2,gyr,moingo,v,,,,,gyr,,amoingo,"moingo, amoingo (Hoeller 1932a:133); moingo, amoingo (Hoeller 1929:56)",
moingoe,gyr,moingoe,v,,,,,,,amoingoe,-; amoingoe ? (Hoeller 1929:56),
moingove,gyr,moingove,v,,,,ikove,gyr,,amoingove,"moingobe, amoingobe (Hoeller 1932a:133); moingobe, amoingobe (Hoeller 1929:56)",
LX000662,gyr,moï,v,,mo- CAUS + ï 'sit',,,gyr,,amoï é / amoïrë,"moĩ é, amoĩ é od. amoĩrẽ (Hoeller 1932a:133); amoî (Hoeller 1929:56)",
LX000663,gyr,moïsenonde,v,,,,,gyr,,amoïsenondo,-; tenonde - amoîzenonde - azenondeo - ayenondeo (Hoeller 1929:104),
LX000664,gyr,moɨ̈rö,v,,,,,gyr,,amoɨ̈rö,"moỹrõ, amoỹrõ (Hoeller 1932a:133)",
mokambu,gyr,mokambu,v,,,,kambu,,,amokambu,"-; câmbǐ, -acambǐ, amocâmbi (Hoeller 1929:20)",
LX000665,gyr,mokañɨ,v,,,,LX000446,gyr,,amokañɨ,"-; cañý, cañýza, -acañý, -amocañý (Hoeller 1929:21)",
LX000666,gyr,mokä'e,v,,,,LX000498,gyr,,amokä'ë,"mocaẽ (Hoeller 1932a:131); mocae, amocâe (Hoeller 1929:55)",
LX000667,gyr,moko'ose,v,,,,,gyr,,,-; teco azǐ - teco âguyéi - teco paraǐzu azeco ? - ambeco - cherereco reze - teco yoya - aba reco - azeco abǐi - zeco azǐ ai - azeco endǐo - zecóne - amo cooze - azecozu ? ayozu? (Hoeller 1929:102),
LX000668,gyr,mokö,v,,,,,gyr,,amokö,"moco, amoco (Hoeller 1932a:131); moco, amôco (Hoeller 1929:55)",
LX000669,gyr,moköi moköi,adv,,,,,gyr,,,-; mocoi - mocoi mocoi ? (Hoeller 1929:55),
moma,gyr,moma,intj,,,,,gyr,,,moma (Hoeller 1932a:133); moma (Hoeller 1929:56),
momarani,gyr,momarani,v,,2019: momarä,,,,,amomarani,-; amomarani ? (Hoeller 1929:46),momorä
LX000670,gyr,momarä,v,,,,LX000602,gyr,,amomarä,momãrã (Hoeller 1932a:136),
momo,gyr,momo,n,,,,,gyr,,,momo (Hoeller 1932a:136); momo (Hoeller 1929:57),
momorandu,gyr,momorandu,v,,,,porandu,gyr,,amomorandu,"momorandu (Hoeller 1932a:136); momorandu, amomorandu (Hoeller 1929:57)",momborandu
LX000671,gyr,momosë,v,,,,,gyr,,amomösë,"momõzẽ (Hoeller 1932a:136); momozê, amomozê (Hoeller 1929:57)",mösë
momba,gyr,momba,v,,,,pa_1,gyr,,amomba,"momba, amomba (Hoeller 1932a:133)",
LX000672,gyr,momba'e,v,,,,,gyr,,amomba'e,"mombae, amombae (Hoeller 1932a:133); mombae, amombae - amombae aniǐ (Hoeller 1929:56)",
mombe,gyr,mombe,v,,,,mbe ; pe_2,gyr,,amombe,"mombe (Hoeller 1932a:134); mombe, amombe (Hoeller 1929:56); mbe (Hoeller 1932a:115); mbê - mombeza - amombê (Hoeller 1929:48)",
LX000673,gyr,mombe'u,v,,,,,gyr,,amombe'u,"mombeu, mombeuza (Hoeller 1932a:134); ombeu, -amombeu - amombeu tirpǐrǐ (Hoeller 1929:56)",
LX000674,gyr,mombe'u yevɨ,v,,lose verbal compound,,LX001966,gyr,,amombe'u yevɨ,yeguì (Hoeller 1932a:290); yeguǐ - ambuae yeguǐ - yebǐ yeguǐ no - yeguǐ yeguǐ azo - amombau yebǐ - ayebǐ - amboyebǐ - añeemboyebǐ - aroyebǐ (Hoeller 1929:125),
mombiasa,gyr,mombiasa,v,,,,,gyr,,amombiasa,"mombiaza, amombiaza (Hoeller 1932a:134); mombiaza, amombiaza (Hoeller 1929:56)",
mombicho,gyr,mombicho,v,,,,LX001039,gyr,,amombicho,mombicho (Hoeller 1932a:134),
mombipi,gyr,mombipi,v,,,,LX000833,gyr,,amombipi,mbipi (Hoeller 1932a:116); mbipi - amombipi (Hoeller 1929:48); mombipi (Hoeller 1932a:121),
LX000675,gyr,mombɨ,v,,,,LX001170,gyr,5c6161e5bf50ce98aeafc4b6c865ee2d,"amombɨ, eremombɨ, omombɨ, che kwä amombɨ, a'e che mombɨ","mombì, amombì (Hoeller 1932a:134); mombǐ.amombǐ (Hoeller 1929:56); pomombǐ - aipomombǐ (Hoeller 1929:82)",
LX000676,gyr,mombɨta,v,,,,LX001090,gyr,5521b4341179d03f5d4352d55e57c995,amombɨta,"mombìta (Hoeller 1932a:134); mombǐta, amombǐta (Hoeller 1929:56)",
LX000677,gyr,mombɨtu'u,v,,,,LX001104,gyr,,amombɨtu'u,mombìtuũ (Hoeller 1932a:135),mombɨtu'ü
LX000678,gyr,mombɨ̈mɨi,v,,,,LX001155,gyr,,amombɨ̈mï,mombỹmĩ (Hoeller 1932a:135),mopɨ̈vɨ̈i
mombo,gyr,mombo,v,,,,po_2 ; mombopo,gyr,,amombo ; amombo,"mbo (Hoeller 1932a:117); mombo (Hoeller 1932a:135); mombo, amombo - yamombo (Hoeller 1929:57); mbo - amombo (Hoeller 1929:49)",
momboi,gyr,momboi,v,,also used as N,,mboi ; poi_1,gyr,,amomboi,"momboi (Hoeller 1932a:135); amomboi (Hoeller 1929:51) ; momboi, ayemombói (Hoeller 1929:57); mboi (Hoeller 1932a:120)",
mombopo,gyr,mombopo,v,,,,mombo,gyr,,amombopo,"mombopo, amombopo (Hoeller 1932a:135); mombopo, amombopo (Hoeller 1929:57)",
LX000679,gyr,mombo'o,v,,,,LX001218,gyr,,,"mboo (Hoeller 1932a:121); momboo (Hoeller 1932a:135); momboo, amombóo (Hoeller 1929:57)",mbopo'o
mombu_1,gyr,mombu,v,,2019: the nasal variant mbu has been lexicalized to deflower only,,pu_1,gyr,,,mbu (Hoeller 1932a:123),
mombu_2,gyr,mombu,v,,"many people interpret this as rape, however, it is not exactly the correct concept (JLC)",,pu_1,gyr,,amombu,"mombu (Hoeller 1932a:135); mbû - amombû (Hoeller 1929:52) ; mombu, amombu (Hoeller 1929:57)",
mombuka_1,gyr,mombuka,v,,,,mombuka_2,gyr,,amombuka,"mombuca, amombuca (Hoeller 1932a:135); mombuca, amombuca (Hoeller 1929:57)",
mombuka_2,gyr,mombuka,n,,,,mombuka_1,gyr,,,"mombuca, amombuca (Hoeller 1932a:135); mombuca, amombuca (Hoeller 1929:57)",
momburu,gyr,momburu,v,,,,mburu,gyr,,amomburu,"momburu, amomburu (Hoeller 1932a:136); mburu, amomburu (Hoeller 1929:52); momburu, amomburu (Hoeller 1929:57)",
LX000680,gyr,momburu'a,v,,,,LX001225,gyr,,amomburu'a,mburua (Hoeller 1932a:124),
mona,gyr,mona,v,,,,,gyr,,amona,"mona,amona (Hoeller 1932a:136); mona, amona (Hoeller 1929:57)",
LX000681,gyr,monu'ä,v,,,,LX000868,gyr,,amonu'ä,"monua (Hoeller 1932a:139); monua, amonua (Hoeller 1929:58)",
LX000682,gyr,moña,v,,,,LX000869,gyr,,amoña,"moña (Hoeller 1932a:140); moña, amoña (Hoeller 1929:58)",
LX000683,gyr,moñachimo,v,,,,,gyr,,amoñachimo,"moñachimũ, amoñachimũ (Hoeller 1932a:140); moñachimu (Hoeller 1929:58)",
LX000684,gyr,moñesɨrö,v,,,,LX001675,gyr,,,-; tǐzǐro - peyeǐzǐro tupǐrǐ - amoyêzǐro (Hoeller 1929:109),moyesɨrö
LX000685,gyr,moñeta,v,,,,LX001906,gyr,,amoñeta,"moñeeta, amoñeeta (Hoeller 1932a:140); moñeta, amoñeta - añemoñeeta (Hoeller 1929:58)",
LX000686,gyr,moñoporemo,v,,not used any more today,,,gyr,,amoñoporemo,"-; ñoporemo, amoñoporemo? (Hoeller 1929:66)",
monda_1,gyr,monda,v,,,,,gyr,,amonda,"monda, amonda mbae reze (Hoeller 1932a:136); amonda (Hoeller 1929:57); munda - amonda teî (Hoeller 1929:59)",
monda_2,gyr,monda,n,,,,monda_1,gyr,,,"monda, monda aguer, monda raguer (Hoeller 1932a:136) ; imonda aguer - mondazar (Hoeller 1929:57)",
mondasar,gyr,mondasar,n,,2019: only mondarai,,,gyr,,,-; imonda aguer - mondazar (Hoeller 1929:57),
mondaye,gyr,mondaye,v,,,,,gyr,,amondaye,"mondaye, amondaye (Hoeller 1932a:137)",
monde,gyr,monde,v,,,,,gyr,,amonde,"monde, amonde (Hoeller 1932a:137); monde, amonde (Hoeller 1929:57)",
LX000687,gyr,mondɨi,v,,,,LX001418,gyr,,amondɨi,"mondìi (Hoeller 1932a:137); mondǐi, -amondǐi (Hoeller 1929:57)",
LX000688,gyr,mondɨkɨ,v,,,,LX001646,gyr,,amondɨkɨ,"mondìquì (Hoeller 1932a:137); mondǐquǐ, amondǐquǐ (Hoeller 1929:57)",
LX000689,gyr,mondɨrɨ,v,,,,,gyr,,amondɨrɨ,"mondìrì, amondìrì (Hoeller 1932a:137)",
LX000690,gyr,mondɨsi,v,,not confirmed,,LX001830,gyr,,amondɨsɨ,"-; mondǐzǐ, amondǐzǐ (Hoeller 1929:57)",
LX000691,gyr,mondɨ'a,n,,,,,gyr,,ayemondɨ'a,"mondìa, ayemondìa (Hoeller 1932a:137); mondǐa, ayemondǐa (Hoeller 1929:57); ñemondìa, che ñemondìa (Hoeller 1932a:155)",
mondo,gyr,mondo,v,,,,so_1,gyr,,amondo,"mondo (Hoeller 1932a:137); mondo, amondo (Hoeller 1929:58)",
mondo_yepe,gyr,mondo yepe,v,,,,yepe,gyr,,amondo yepe,yepe (Hoeller 1932a:292); yepe - amondo yepe (Hoeller 1929:126),
mondoro,gyr,mondoro,v,,,,soro,gyr,,amondoro,"mondoro (Hoeller 1932a:138); mondoro, amondoro (Hoeller 1929:58)",
mondoso,gyr,mondoso,v,,,,sando,gyr,,amondoso,"mondozo (Hoeller 1932a:138); mondozo, amondozo (Hoeller 1929:58)",
monduru,gyr,monduru,v,,,,nduru,gyr,,amonduru,"monduru (Hoeller 1932a:138); monduru, amonduru (Hoeller 1929:58)",
monduyu,gyr,monduyu,v,,,,tuyu,gyr,,amonduyu,"monduyu (Hoeller 1932a:138); monduyu, amonduyu (Hoeller 1929:58)",mbotuyu
monga,gyr,monga,v,,< extinct root kä 'oil',,,gyr,,amonga,"monga (Hoeller 1932a:138); monga, amonga (Hoeller 1929:58)",
mongara,gyr,mongara,v,,not known today,,,gyr,,amongara,-; mongara (Hoeller 1929:58),
mongaru,gyr,mongaru,v,,,,karu,gyr,,amongaru,mongaru (Hoeller 1932a:139); monegaru (Hoeller 1929:58),mbokaru
mongavu,gyr,mongavu,v,,also used as N,,kavu,gyr,,amongavu,"mongabu (Hoeller 1932a:138); mongabu, amongabu (Hoeller 1929:58)",mokavu
LX000692,gyr,monga'u,v,,,,LX000491,gyr,,amonga'u,"ngau (Hoeller 1932a:146); ngau, amongau (Hoeller 1929:62)",moka'u
mongerai,gyr,mongerai,v,,,,kierai,gyr,,amongierai,mongierai (Hoeller 1932a:139),mongierai
LX000693,gyr,mongere'ɨ̈,v,,,,LX000500,gyr,,amongiereɨ̈,mongiereỹ (Hoeller 1932a:139),mongiere'ɨ̈
mongiriri,gyr,mongiriri,v,,,,kiriri,gyr,,amongiriri,mongiriri (Hoeller 1932a:139); mongiriri (Hoeller 1929:58),
LX000694,gyr,mongɨ,v,,,,LX000503,gyr,,amongɨ,mongì (Hoeller 1932a:139); amongǐ catu (Hoeller 1929:58) ; mongǐ (Hoeller 1929:58),
LX000695,gyr,mongɨra,v,,,,LX000510,gyr,3bbcd9787407d3c857155d8a218a551c,amongɨra,"mongìra (Hoeller 1932a:139); mongǐra, amongǐra (Hoeller 1929:58)",mokɨra
LX000696,gyr,mongɨ'a,v,,,,LX000526,gyr,,amongɨ'a,mongìa (Hoeller 1932a:139),mokɨ'a
monguru,gyr,monguru,v,,,,kuru,gyr,,,"nguru (Hoeller 1932a:146); nguru, amonguru? (Hoeller 1929:62)",
LX000697,gyr,mongu'ei,v,,,,LX000574,gyr,,"amongu'ei, omongu'ei",ngu-ei (Hoeller 1932a:146); ngeî - ayemongeî (Hoeller 1929:62); nge? - amongeiei (Hoeller 1929:62),
LX000698,gyr,mongu'i,v,,lit. make flour with CAUS + flour,,LX000575,gyr,,amongu'i,"mongu-i (Hoeller 1932a:139); mongui, amongui (Hoeller 1929:58)",moku'i
LX000699,gyr,mongu'icho,v,,,,LX000576,gyr,,amonguicho,"nguicho, amongu-icho, gleich: aicu-icho (Hoeller 1932a:146) ; nguicho, amonguicho (Hoeller 1929:62)",moku'icho
mopana,gyr,mopana,v,,not known today,,LX000998,,,,"-; pana, ipopana - amopana ? (Hoeller 1929:70)",mopärä
mopane,gyr,mopane,v,,,,pane,gyr,,amopane,"mopane (Hoeller 1932a:140); mopane, amopane (Hoeller 1929:59); pane - che pane - amopane - ipane chepeine?? (Hoeller 1929:70)",
LX000700,gyr,mopära,v,,,,,gyr,,,-; para (Hoeller 1929:71),momara
LX000701,gyr,mopäri,v,,,,LX000999,gyr,,amopärï,-; pani - iperibae - amopani (Hoeller 1929:71),mopani
LX000702,gyr,mopë,v,,,,,gyr,,amopë,"-; mopê, amopê (Hoeller 1929:59)",
mopini,gyr,mopini,v,,,,pini,gyr,,amopini,"-; pini - amopini, ereyemombini (Hoeller 1929:74)",
LX000703,gyr,mopɨ,v,,,,,gyr,,amopɨ amopɨ,"-; pǐi ?, pui - amópǐ amopǐ (Hoeller 1929:77)",
LX000704,gyr,mopɨsa,v,,,,,gyr,,amopɨsa,pìza (Hoeller 1932a:186),
morandusa,gyr,morandusa,n,,,,porandu,gyr,,,moranduza (Hoeller 1932a:140),
moranga,gyr,moranga,n,,not known anymore,,,gyr,,,-; moranga ? (Hoeller 1929:59),
morar_pira,gyr,morar pira,n,,not known today,,,gyr,,,-; morar pira (Hoeller 1929:55),
LX000705,gyr,moraraï,n,,not known today; possibly wrong momära,,LX000670,gyr,,,-; moraraî ? (Hoeller 1929:57),momaräi
moreno,gyr,moreno,n,,,,poreno,gyr,,,moreno v. poreno - aporeno (Hoeller 1929:59),
moreno_angaipa,gyr,moreno angaipa,exp,,with the idea that sex is a sin; so it may also only refer to the sexual act,,poreno,gyr,,,moreno angaipa (Hoeller 1932a:140),poreno angaipa
LX000706,gyr,morochï,n,,,,,gyr,,,morochĩ (Hoeller 1932a:140); morôchî - morochinguer (Hoeller 1929:59),
morokochi,gyr,morokochi,n,,,,,gyr,,,morocochi (Hoeller 1932a:140); morocochi (Hoeller 1929:59),
LX000707,gyr,moropɨ̈tä,n,,old word (2019),,,gyr,,,moropỹtã (Hoeller 1932a:141),
moroyu,gyr,moroyu,n,,not known today,,yu_4,gyr,,,moroyu (Hoeller 1932a:141),
LX000708,gyr,mosaï,v,,,,LX001301,gyr,,amosäï,"mozaĩ (Hoeller 1932a:141); mozaî, amozaî (Hoeller 1929:59)",
mosapua,gyr,mosapua,v,,not confirmed,,,gyr,,,"zapua, amozapua (Hoeller 1929:143)",
LX000709,gyr,mosä,n,,,,LX001221,gyr,,,"mõzã (Hoeller 1932a:141); mozâ (Hoeller 1929:59) , pozâ, mozâ - ponzano (Hoeller 1929:86)",
mose_1,gyr,mose,suff,,,,,gyr,,,moze (Hoeller 1932a:141); moze (Hoeller 1929:59),
mose_2,gyr,mose,postpos,,,Ascensión,,gyr,,,ze-moze (?) - mbae moze (?) - côeze (?) (Hoeller 1929:145),
LX000710,gyr,motä,v,,"mbota is semi-obsolete, 2019: motä/montä",,,gyr,,amotä,"monta, amonta (Hoeller 1932a:139); mõtã (Hoeller 1932a:141); mbota (Hoeller 1932a:122); mbota - ambôta (Hoeller 1929:52)",mbotä
LX000711,gyr,motɨ̈,v,,,,LX001626,gyr,,amotɨ,-; tê - amotê - tênao ? (Hoeller 1929:101),motë
motoni,gyr,motoni,n,spa: botón,,,,spa,,,motoni (Hoeller 1932a:141); motoni (Hoeller 1929:59),
LX000712,gyr,motoyo'e,n,,,,,gyr,,,motoyóe (Hoeller 1932a:141); motoy ǐ ? (Hoeller 1929:59),
LX000713,gyr,motoyo'e,n,,,,,gyr,,,motoyóe (Hoeller 1932a:141); motoy ǐ ? (Hoeller 1929:59),
motumbe,gyr,motumbe,v,,,,tumbe,gyr,,amotumbe,"tumbe, itumbe (Hoeller 1932a:262); tumbê, itumbê - amotumbê (Hoeller 1929:112)",
moveve,gyr,moveve,v,,lit. make fly (CAUS),,veve,gyr,,amoveve,"veve (Hoeller 1932a:269); veve, aveve - amoveve (Hoeller 1929:116)",
LX000714,gyr,moviña,v,,,,LX001764,gyr,4f5f70ab46a2e8325a6e08c2cd181b17,"amoviña/amboviña, eremboviña, omboviña","moviña, amoviña (Hoeller 1932a:141) ; moviña, amoviña ? (Hoeller 1929:59); viña, amoviña (Hoeller 1929:116)",mboviña
LX000715,gyr,movɨräkwandai,v,,,,LX001669,gyr,,amogwɨräkwandai,"moguìrãcuandai, amoguìrãcuandai (Hoeller 1932a:132)",
LX000716,gyr,movɨrö,adv,,,,LX000244,gyr,,,"mbobìrõ, mboguỹrõ (Hoeller 1932a:118); moguìrõ (Hoeller 1932a:132); moguǐro (Hoeller 1929:56)",mbovɨrö
LX000717,gyr,movɨso,v,,,,,gyr,,amoviso,"-; mobizo, amobizo (Hoeller 1929:55)",
LX000718,gyr,movɨ̈i,v,,CAUS; lit. make move,,,gyr,,"amovɨ̈i, amomɨ̈i","mỹĩ, ámỹĩ (Hoeller 1932a:129); mýi - amomýi (Hoeller 1929:54)",momɨ̈i
LX000719,gyr,movɨ̈räkwä,v,,,,,gyr,5426b0b862c2de2d6f52ba3c684e5856,"amovɨräkwä, eremovɨräkwä, omovɨräkwä",guǐracua - amoguǐracua (Hoeller 1932a:83),
LX000720,gyr,movöröi,v,,,,,gyr,8e4353fa53aa05afa57de1dd87ac1448,"amovöröi, eremovöröi, omovöröi","bõroĩ, amobõroĩ ìbì (Hoeller 1932a:41)",
moyape,gyr,moyape,n,,,,,gyr,acbb0cc30ad3e61e73224d9ad6ea317b,,"mboyape (Hoeller 1932a:123); mboyape (Hoeller 1929:52); yape âtâ (Hoeller 1929:120), handwritten addition: móyape",mboyape
LX000721,gyr,moyenɨ̈pɨa,v,,,,,gyr,,amoyenopɨ̈'ä,"monìpìa, ayemonìpìa (Hoeller 1932a:139); ný pǐa - añanypǐa - amoñýpǐa - che renýpǐa (Hoeller 1929:62)",moyenopɨ̈a
moyere,gyr,moyere,v,,,,,gyr,,amboyere,"yere (Hoeller 1932a:295); yere, ayere - ǐbǐra yere - ayere [ǐbǐra reze] - amoyere, azapǐpe moyere - amoyere icupe cotǐ (Hoeller 1929:128)",mboyere
LX000722,gyr,mo'ava'e,v,,,,,gyr,,amboava'e,(aba e) amboaba è (Hoeller 1932a:4),
LX000723,gyr,mo'ä,v,,,,LX001910,gyr,,,moã (Hoeller 1932a:130); moâ - amoâ (Hoeller 1929:55),
LX000724,gyr,mo'ä,n,,,,LX000201,gyr,,,moã (Hoeller 1932a:131),
LX000725,gyr,mo'äpɨ,v,,,,LX000218,gyr,,amoäpɨ,"moãpì (Hoeller 1932a:131); apǐ - amoapǐ, che iri iapê ? (Hoeller 1929:55)",
LX000726,gyr,mo'ätɨ̈ro,v,,,,,gyr,,amoätɨ̈rö,"moatỹro, amoãtỹrõ (Hoeller 1932a:131); moatýro, amoatýro (Hoeller 1929:55)",
LX000727,gyr,mo'ësa,n,,,,sesa ; tesa,gyr,,,moeza (Hoeller 1932a:132); moêza (Hoeller 1929:56),
mo-_1,gyr,mo-,pref,,,,,gyr,,CAUS-V (intransitive),"-; mo, mbo - âmo (Hoeller 1929:55)",mbo-
LX000728,gyr,mögwera,v,,,,kwera,gyr,,ambogwera,"monguera (Hoeller 1932a:139); monguera, amonguera (Hoeller 1929:58)","mbokwera, mongwera"
LX000729,gyr,möi,v,,,,LX000662,gyr,,"amoi, amba'emoi","amoî (Hoeller 1929:56); moĩ (Hoeller 1932a:132); moî, amoî - mbae moînda (Hoeller 1929:56)",moi
mu,gyr,mu,n,,,,,gyr,,"che mu, yande mu",mũ (Hoeller 1932a:141); mû - añemo mû zeze (Hoeller 1929:59),
LX000730,gyr,murochɨvusu,n,,not known today,,,gyr,,,-; murochǐbuzu ? (Hoeller 1929:60),
muruka,gyr,muruka,n,,not known today,,,gyr,,,-; muruca (Hoeller 1929:60),
murukuya,gyr,murukuya,n,spa: marakuyá,,,,"gyr, spa?",,,mburucuya (Hoeller 1932a:124); murucuya (Hoeller 1932a:142) ; mburucuya (Hoeller 1929:52),mburukuya
LX000731,gyr,musurä,n,,,,,gyr,,,muzũra (Hoeller 1932a:142); muzura - muzurape (Hoeller 1929:60),
muyu,gyr,muyu,n,,,,,gyr,,,muyu (Hoeller 1932a:142),
mbagwari,gyr,mbagwari,n,,,,,gyr,,,"mbaguari, mbaguarĩchĩ (Hoeller 1932a:114); mbaguari - mbaguarichi (Hoeller 1929:47)",
LX000732,gyr,mbagwarichï,n,,,,,gyr,,,"mbaguari, mbaguarĩchĩ (Hoeller 1932a:114); mbaguari - mbaguarichi (Hoeller 1929:47)",
mbarakaya,gyr,mbarakaya,n,,,,,gyr,,,maracaya (Hoeller 1932a:109); mbaracaya (Hoeller 1932a:114) ; mbaracaya (Hoeller 1929:48),
LX000733,gyr,mbarayaɨ gwasu,n,,,,,gyr,,,mberayaì guazu od. buzu (Hoeller 1932a:114),mbarayaɨ vusu
LX000734,gyr,mbaraya'ɨ,n,,,,,gyr,,,-; mbarayáǐ (Hoeller 1929:48),
mbavapiche,gyr,mbavapiche,n,,,,,gyr,,,mbabapiche (Hoeller 1932a:111),
LX000735,gyr,mbavapɨtugwɨr,n,,2019: mbavapatugwɨ,,,gyr,,,mbabapìtuguìr (Hoeller 1932a:111),mbavapatugwɨ
mbavapuku,gyr,mbavapuku,n,,,,,gyr,,,mbabapucu (Hoeller 1932a:111),
LX000736,gyr,mba'e,n,,also used as generic reference to non-humano objects,,,gyr,,mba'e-V instead of i- 3O,mbae (Hoeller 1932a:111); mbae (Hoeller 1929:47),
LX000737,gyr,mba'e,part,,,,,gyr,,,mbae? (Hoeller 1932a:112),
LX000738,gyr,mba'e ai,n,,,,,gyr,,,mbae ai (Hoeller 1932a:113),
LX000739,gyr,mba'e andusa,n,,,,yandu_1 ; yandusa,gyr,,,"yandu; yanduza, mbae anduza (Hoeller 1932a:277)",
